City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Olafsvik,IS,2022-04-01 13:29:00,64.8945,-23.7142,39.56,87,100,9.66
81,San Patricio,US,2022-04-01 13:29:00,28.017,-97.5169,69.84,80,9,7.25
82,Ilulissat,GL,2022-04-01 13:29:01,69.2167,-51.1,21.22,86,40,4.61
83,Fairbanks,US,2022-04-01 13:28:48,64.8378,-147.7164,8.94,51,0,11.5
84,Itoman,JP,2022-04-01 13:29:01,26.1247,127.6694,66.22,62,40,16.11
85,Vaitape,PF,2022-04-01 13:29:02,-16.5167,-151.75,80.82,74,100,5.95
86,Kieta,PG,2022-04-01 13:29:02,-6.2167,155.6333,77.67,90,100,2.15
87,Khandbari,NP,2022-04-01 13:29:02,27.3747,87.2039,73.38,74,84,3.2
88,Jiuquan,CN,2022-04-01 13:29:03,39.7432,98.5174,47.66,14,0,8.1
89,Preston,GB,2022-04-01 13:29:03,53.7667,-2.7167,49.68,56,75,5.75
90,Tura,IN,2022-04-01 13:30:04,25.5198,90.2201,73.63,80,32,5.21
91,Cape Town,ZA,2022-04-01 13:30:05,-33.9258,18.4232,76.12,66,0,28.77
92,Sisimiut,GL,2022-04-01 13:30:06,66.9395,-53.6735,30.15,80,13,5.66
93,Iqaluit,CA,2022-04-01 13:30:07,63.7506,-68.5145,24.53,92,100,6.91
94,Myanaung,MM,2022-04-01 13:30:08,18.2833,95.3167,86.11,40,1,7.0
95,Aksarka,RU,2022-04-01 13:30:08,66.5606,67.7975,19.18,83,100,12.62
96,Carnarvon,AU,2022-04-01 13:30:09,-24.8667,113.6333,75.27,94,75,5.75
97,Pevek,RU,2022-04-01 13:30:10,69.7008,170.3133,-18.72,100,34,4.27
98,Hamilton,US,2022-04-01 13:29:16,39.1834,-84.5333,37.89,84,100,17.27
99,Sunrise Manor,US,2022-04-01 13:29:56,36.2111,-115.0731,63.91,25,0,12.66
100,Boysun,UZ,2022-04-01 13:30:11,38.2061,67.1986,59.25,29,45,3.13
