City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
96,Bengkulu,ID,79.99,-3.8004,102.2655,Grage Hotel Bengkulu
98,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
101,Rameswaram,IN,85.15,9.2833,79.3,Daiwik Hotels Rameswaram
104,Grand Gaube,MU,84.6,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
109,Nouadhibou,MR,76.98,20.931,-17.0347,El Medina
111,Praia,CV,76.95,14.9215,-23.5087,LT Aparthotel
112,Cairo,EG,81.36,30.0626,31.2497,Grand Hotel
115,San Policarpo,PH,79.84,12.1791,125.5072,Agapita M. Nicart
117,Salinopolis,BR,75.94,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
122,Farafangana,MG,79.34,-22.8167,47.8333,Miarina
127,Port Hedland,AU,84.25,-20.3167,118.5667,The Esplanade Hotel
128,Jadu,LY,76.1,31.953,12.0261,امياس للصرافة
129,Hithadhoo,MV,84.06,-0.6,73.0833,Scoop Guest House
140,Morant Bay,JM,79.72,17.8815,-76.4093,Whispering Bamboo Cove Resort
141,Bambous Virieux,MU,84.45,-20.3428,57.7575,Casa Tia Villa
142,Bhairab Bazar,BD,87.91,24.0667,90.9667,RJ Tower Hotel And Resort
152,Kieta,PG,79.32,-6.2167,155.6333,Uruna Bay Retreat
155,Saint-Pierre,RE,83.88,-21.3393,55.4781,Lindsey Hôtel
157,Nkhotakota,MW,78.71,-12.9274,34.2961,Sitima Inn
158,Nabire,ID,77.11,-3.3667,135.4833,Hotel Nusantara I
162,Kannur,IN,84.0,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
166,Mayor Pablo Lagerenza,PY,80.38,-19.9309,-60.7718,
170,Nalut,LY,83.77,30.3333,10.85,
171,Meulaboh,ID,80.58,4.1363,96.1285,Kost Pria
172,Adwa,ET,87.24,14.1646,38.8955,Maay Assa Hotel
175,Campina Verde,BR,81.81,-19.5356,-49.4864,Hotel Lino
188,Sao Filipe,CV,76.87,14.8961,-24.4956,Hotel Xaguate
192,Puerto Maldonado,PE,77.4,-12.6,-69.1833,Wasai Hotel
196,Maceio,BR,83.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
198,Sinnamary,GF,79.52,5.3833,-52.95,ALETHEIA Appartement Sinnamary
207,Ratnagiri,IN,83.61,16.9833,73.3,Hotel Landmark
208,Atuona,PF,79.11,-9.8,-139.0333,Villa Enata
209,Kudahuvadhoo,MV,85.03,2.6708,72.8944,Niyama Private Islands Maldives
211,Vila Velha,BR,85.95,-20.3297,-40.2925,Hotel Vitória Palace
214,Xai-Xai,MZ,78.03,-25.0519,33.6442,Complexo da Familia
217,Cairns,AU,78.06,-16.9167,145.7667,Mantra Trilogy Cairns
220,Kerman,IR,85.86,30.2832,57.0788,هتل آپارتمان آسام
221,Namibe,AO,75.83,-15.1961,12.1522,Hotel Chik Chik Namibe
222,Serro,BR,79.25,-18.6047,-43.3794,Pousada Mariana
223,Dingle,PH,75.94,10.9995,122.6711,SEGAYA PROPERTY
224,Baghdad,IQ,82.31,33.3406,44.4009,Baghdad Hotel
226,Manggar,ID,79.23,-2.8833,108.2667,Guest Hotel
232,Sinjar,IQ,75.29,36.3209,41.8754,زوماني فون 1
239,Reyes,BO,76.95,-14.3167,-67.3833,
240,Roura,GF,82.96,4.7263,-52.3274,Amazonie Découverte SARL
